frame,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,trunk_flexion,trunk_lateral_flexion,neck_flexion,neck_lateral_flexion,knee_angle_symmetry,hip_angle_symmetry,shoulder_angle_symmetry
0,64.18800889843702,86.63160363663195,76.65078325653364,103.29782443094682,105.57398951071156,119.10039260169161,63.63893871810123,113.51242733289018,150.26610366002612,149.16459113840506,91.62099900968548,179.89388680812777,89.73615531685668,91.37794284983713,22.443594738194932,26.647041174413175,49.873488614788954
1,69.74763122574981,90.25666190943393,76.21500507767212,107.78344010172688,99.4449147684673,120.40565491955628,65.31179077445115,113.67890665202178,142.98742451834016,142.9465654411198,93.4691360899081,176.7270707623466,90.48295662998146,91.69893295047441,20.509030683684117,31.568435024054764,48.367115877570626
2,89.38446112916954,111.89881659028771,80.93521965298314,105.85454908853613,104.39861696576507,119.00748574130724,69.07607608037267,112.00226167585528,134.02698145870795,126.08632831512486,93.02559931837521,176.6460708328033,93.88670389266663,89.60819026356248,22.51435546111817,24.919329435552996,42.92618559548261
3,98.17264162283935,122.33511237332074,84.35095726170893,98.13934913342501,111.45324994026139,123.184614348335,59.551052519151405,112.4556585483833,131.87058781458808,124.6582474536846,94.51070833826141,176.9066591885707,90.89354497545753,79.56502648741566,24.16247075048139,13.788391871716087,52.90460602923189
4,98.16343017225478,115.358129763393,87.72930365486191,97.54236355406577,116.22806122287749,121.80153681241369,67.73527098958641,111.16331069701336,109.4065717529908,128.20182789654717,93.16931334837095,177.8164704203151,92.91090853119826,89.77559996155466,17.194699591138217,9.813059899203864,43.42803970742695
5,113.74579898628137,118.19139241235544,89.62361970176416,94.91216405810798,119.6576549894987,123.96306559268815,71.34281082965668,109.60936052609917,128.47221242974635,140.62013000167218,92.46492982946734,178.34201717700273,91.66722984500132,90.2507617948581,4.445593426074069,5.28854435634382,38.26654969644248
6,105.75412927015681,120.89495798497887,93.48355039600102,92.1818373051096,117.24665233849639,126.78593380202625,71.00905281067413,107.22222934423071,124.02072213698762,139.3374070823944,92.25109413652464,177.76340082894563,92.09014599458085,91.75755908182188,15.140828714822064,1.3017130908914254,36.21317653355658
7,111.56968012194521,125.789066227505,95.30581062023262,94.90897759249513,116.21487779256415,128.04004819889303,70.89934781349918,104.90271582880257,122.734661569095,133.87847264188775,91.84137153928997,178.5152102160452,92.61558286855687,93.14198139987593,14.219386105559792,0.3968330277374861,34.003368015303394
8,103.11114932428562,124.66906611606491,95.16019821314599,97.28002181787322,113.82422467836614,128.04873864556885,70.26037151598716,104.57906234384193,121.60367135850576,133.7123057385123,91.60975014156537,178.81436141182755,93.04757622870248,94.73871669933396,21.55791679177929,2.1198236047272303,34.318690827854766
9,105.80271524447849,132.20776779931032,94.27564765901748,100.20112205490425,114.51706943761037,136.02948664369904,70.04396558793067,103.97486207745405,119.80736388257385,131.64877121842287,90.96437187647007,178.8229482881738,93.8252605108135,95.37401678278488,26.405052554831826,5.925474395886766,33.93089648952338
10,111.67560744192917,133.55845574755404,94.25999224808463,100.56414051665321,116.85345244640898,136.7438334728392,70.33624043165607,103.77243810102976,119.3874702458448,133.71853080377488,89.9617214895145,178.93632129579106,94.15134927462626,94.68994045802008,21.88284830562486,6.304148268568582,33.4361976693737
11,110.91955059438257,137.2209315265075,93.74688628259256,101.54591408666421,121.06282103951466,142.88397984244102,69.20061008468109,101.38688135354766,119.86373770999387,132.33476234986702,89.68702945737658,178.92157419509172,93.25016656784028,93.76358359736807,26.301380932124943,7.799027804071656,32.18627126886658
12,113.10015195643217,135.15138140962753,93.31985563405486,102.05995886059252,120.40807000287903,139.13391275345433,69.0372073518261,101.50452863667783,118.96077933083248,128.45406423570265,88.87451612413739,179.79951207247427,93.08053203256726,93.87476729960007,22.05122945319536,8.740103226537656,32.467321284851735
